cacao bean roaster,http://data.europa.eu/esco/occupation/6725a5bb-b79d-4128-9494-089389ae2a48
slaughterer,http://data.europa.eu/esco/occupation/34ec79d0-85fb-445a-a5f2-df51b70c6375
door supervisor,http://data.europa.eu/esco/occupation/7e17f4ea-9565-41e0-b408-b52b5c9492a3
brew house operator,http://data.europa.eu/esco/occupation/1e3c569b-e7ef-46b4-943a-2768a9969961
aesthetician,http://data.europa.eu/esco/occupation/a1e1a788-2352-4172-8fcf-1f985a6968b0
ship steward/ship stewardess,http://data.europa.eu/esco/occupation/6a2270bc-3f69-4cfd-b99b-fdc2c70d1779
nanny,http://data.europa.eu/esco/occupation/0a5356bc-7f81-4e40-971d-c1dc789c5fb4
railway passenger service agent,http://data.europa.eu/esco/occupation/9653fb92-ad48-4865-a471-f270302fa93b
school bus attendant,http://data.europa.eu/esco/occupation/78eacaf8-06d6-4b78-920f-edece2e41464
vermouth manufacturer,http://data.europa.eu/esco/occupation/ca2da084-3bfa-47d8-84ba-ef890191708d
malt kiln operator,http://data.europa.eu/esco/occupation/7309ab2d-e2ba-4ccb-b658-6b0a8bd8c4eb
waiting list coordinator,http://data.europa.eu/esco/occupation/92be1fac-97c4-4d4d-ada7-f6aa07d6f316
dairy products manufacturing worker,http://data.europa.eu/esco/occupation/87cb6ef5-fa94-4af4-9511-6fe64c463835
hospitality establishment receptionist,http://data.europa.eu/esco/occupation/82025c02-9082-416c-998b-f51eb0359ee6
outdoor animator,http://data.europa.eu/esco/occupation/67d8c64f-e0d9-4e0b-be8b-510f9e20e698
matrose,http://data.europa.eu/esco/occupation/bd22a34c-1dc2-48df-a254-66e5d03dec12
care at home worker,http://data.europa.eu/esco/occupation/f4525ed8-54eb-4a3b-90db-55cc01b0d9fd
masseur/masseuse,http://data.europa.eu/esco/occupation/1978c6ff-37b4-48f1-9aa6-88b9c568f74f
hotel porter,http://data.europa.eu/esco/occupation/3cc51201-cd20-47f8-92ad-4d5861f963cf
ticket issuing clerk,http://data.europa.eu/esco/occupation/612430b3-dd43-4786-b823-0466c4953f66
fish production operator,http://data.europa.eu/esco/occupation/83de6811-975d-4f7c-b81e-604c0c17e800
steward/stewardess,http://data.europa.eu/esco/occupation/58ff0ec2-08ba-4b21-b765-babb6d76ca36
performance hairdresser,http://data.europa.eu/esco/occupation/f60dc59b-7681-45d4-8114-b3a646e02ab2
nurse assistant,http://data.europa.eu/esco/occupation/87d0795a-d41f-47ee-979f-0ab7d73836e7
industrial cook,http://data.europa.eu/esco/occupation/11e6d39e-1295-40e7-8eea-3eb042bc7e34
residential home young people care worker,http://data.europa.eu/esco/occupation/6667bf29-a3e3-4513-a71b-82c67206045b
chocolatier,http://data.europa.eu/esco/occupation/35f62568-eb4e-4a09-9d83-ecc73116f94c
cloak room attendant,http://data.europa.eu/esco/occupation/26087cc4-6226-41b0-9f97-9564ebe90dce
club host/club hostess,http://data.europa.eu/esco/occupation/d1fc31d2-38e1-4000-85b7-3f82d2fbed9e
wine sommelier,http://data.europa.eu/esco/occupation/2d92f7f5-d2b1-4223-92c4-23c33f8604fc
librarian,http://data.europa.eu/esco/occupation/60f7eb23-a7ea-4cbe-98a5-1248291f62d5
coffee roaster,http://data.europa.eu/esco/occupation/36b11444-8634-4194-b679-ed302acdfb22
housing support worker,http://data.europa.eu/esco/occupation/4edbde9f-218e-49c7-812f-c45262fb4128
restaurant host/restaurant hostess,http://data.europa.eu/esco/occupation/a1b86a8b-ad91-4192-b386-bbf89bb11699
meat cutter,http://data.europa.eu/esco/occupation/05f6eaeb-b285-46bd-a44a-225bd429e329
home care aide,http://data.europa.eu/esco/occupation/1391bdf9-bd61-4fb5-91ca-c29036ab2b60
ticket sales agent,http://data.europa.eu/esco/occupation/bdf2dd9d-6c92-46f4-a8e7-76c12302d3e7
shop assistant,http://data.europa.eu/esco/occupation/0b15375e-dfdd-4047-9efb-096e0aaee7d2
passenger fare controller,http://data.europa.eu/esco/occupation/7720f392-6ea0-4455-a805-7b7eef38a709
hairdresser assistant,http://data.europa.eu/esco/occupation/55f6380c-7511-4c33-8fc4-c74f10f524fa
special educational needs assistant,http://data.europa.eu/esco/occupation/1f137f0b-7097-4583-9d1b-b69e57369319
wedding planner,http://data.europa.eu/esco/occupation/6662e56e-bc3d-4d9b-bed2-79d510d7c4ff
fish trimmer,http://data.europa.eu/esco/occupation/6c39cf1c-7332-41c1-86c3-6ed3daf3c479
maternity support worker,http://data.europa.eu/esco/occupation/30194ac4-93b8-4450-8a15-f6f7cbe351cb
liquor grinding mill operator,http://data.europa.eu/esco/occupation/e0c5e005-6303-4d5a-9125-a7f86ed1c4df
camping ground operative,http://data.europa.eu/esco/occupation/92b7776f-5d90-413d-b05f-51e429e28346
doorman/doorwoman,http://data.europa.eu/esco/occupation/43ee9c1a-59c2-48ee-afcd-c384dca92162
primary school teaching assistant,http://data.europa.eu/esco/occupation/00674f21-2f8f-4a41-9896-133f7cbe2a6e
barber,http://data.europa.eu/esco/occupation/4e0c14d6-b170-40f1-bcdc-703c0b92109b
bartender,http://data.europa.eu/esco/occupation/2f5e38a0-6578-4665-bdbd-e2ab505be140
milk heat treatment process operator,http://data.europa.eu/esco/occupation/b69d9b94-a40c-434d-af8f-e584257314f6
bingo caller,http://data.europa.eu/esco/occupation/2f7f5c84-b9b3-41ea-aa5f-5997d0873141
diet cook,http://data.europa.eu/esco/occupation/9ab80ce6-504f-474f-bb91-98163e9d45fd
mountain guide,http://data.europa.eu/esco/occupation/86e8e172-234d-4e85-b9ae-6a4aecc2c321
shiatsu practitioner,http://data.europa.eu/esco/occupation/b01affdd-c8a9-4121-bc50-a5be17f014eb
marketing assistant,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
market vendor,http://data.europa.eu/esco/occupation/c822ca35-6c36-4eab-97fa-90f2775091c3
food production operator,http://data.europa.eu/esco/occupation/e3dc66de-99c7-4607-a82b-7244036d316d
dryer attendant,http://data.europa.eu/esco/occupation/804f1ae2-429c-48a9-9858-d5d42df144eb
assistant outdoor animator,http://data.europa.eu/esco/occupation/4dceca8d-9faf-487b-b342-c9d7dc209533
wig and hairpiece maker,http://data.europa.eu/esco/occupation/bd206ee9-61d6-45de-a369-0c71b8429efa
immigration officer,http://data.europa.eu/esco/occupation/6296faea-1909-4943-b0e0-662b43ad855d
chocolate moulding operator,http://data.europa.eu/esco/occupation/d41ff08f-1ba9-4e39-b9b5-ad6bfe8f9611
kennel supervisor,http://data.europa.eu/esco/occupation/bc1748c7-29d6-43d5-a304-6b74f317ac26
swimming facility attendant,http://data.europa.eu/esco/occupation/4779055b-f769-4c6d-8e0e-088bb74cfce9
hairdresser,http://data.europa.eu/esco/occupation/099c6bb0-22d3-4c5d-8bf5-70910af381ef
tour organiser,http://data.europa.eu/esco/occupation/5b9a678a-7c35-4c50-a804-754b82652ee6
pastry maker,http://data.europa.eu/esco/occupation/ff42d44c-34f8-46be-ad3a-2aad9a5e43f0
medical administrative assistant,http://data.europa.eu/esco/occupation/045f05f2-4ff8-46b2-9d08-e12a81657498
butcher,http://data.europa.eu/esco/occupation/37c7880e-cfee-4c41-a41b-061682fefde3
hair stylist,http://data.europa.eu/esco/occupation/82dea303-26e1-4bbc-a07c-cff3cac6b50e
child care social worker,http://data.europa.eu/esco/occupation/0d423a2e-6fb7-4704-8544-bd6c522b3c62
live chat operator,http://data.europa.eu/esco/occupation/fde97584-d8e3-413e-a662-511c9055357e
quick service restaurant crew member,http://data.europa.eu/esco/occupation/96a0d8d3-d4a6-473d-80d6-b5dbadde940a
pedicurist,http://data.europa.eu/esco/occupation/489b9a38-89a2-425c-95b9-79cec66379e1
midwife,http://data.europa.eu/esco/occupation/95cda6a9-a70a-4a93-9442-11d573cb4a02
fish preparation operator,http://data.europa.eu/esco/occupation/c0386702-0699-4550-920b-1f7027c9a3d9
survey enumerator,http://data.europa.eu/esco/occupation/a1cf1406-3632-494c-bff3-0bd5d5327d8f
travel agent,http://data.europa.eu/esco/occupation/79f8f68c-5509-4119-9373-8bef1c364d31
pasta maker,http://data.europa.eu/esco/occupation/26852256-d423-41bb-8178-4d37ff2528b9
baking operator,http://data.europa.eu/esco/occupation/5d9e63a2-8013-434e-9f92-3b3d54a0c320
residential care home worker,http://data.europa.eu/esco/occupation/81309031-dad2-4a7a-bde6-7f6e518f89ff
door to door seller,http://data.europa.eu/esco/occupation/ae73f0dc-05a7-4e23-a234-9bb7e6d86975
personal stylist,http://data.europa.eu/esco/occupation/d5ce0c23-6f8a-459f-9bf9-a7cb9768740a
lottery cashier,http://data.europa.eu/esco/occupation/3f32394b-f1b1-48ef-96ee-74405fb7c6b6
healthcare assistant,http://data.europa.eu/esco/occupation/d38c2107-98f2-47b7-8bb4-f69750d51082
chef,http://data.europa.eu/esco/occupation/1009be17-7efd-45f1-a033-566bf179c588
hawker,http://data.europa.eu/esco/occupation/b059d331-2dd9-4d7d-923e-1dd029d2e58c
grill cook,http://data.europa.eu/esco/occupation/bbaa1444-2c0a-4f76-8375-d72e3ea968fd
barista,http://data.europa.eu/esco/occupation/bf7d8b16-4e2c-48ef-b44e-dc25b2d0ab61
office clerk,http://data.europa.eu/esco/occupation/6c999fc7-c6b7-4ef3-a4b9-af124a1783a2
promotion assistant,http://data.europa.eu/esco/occupation/21af40bb-2ae3-4fc7-9b28-d2cdd8308912
residential childcare worker,http://data.europa.eu/esco/occupation/4d7d2628-1405-4ff2-b5b5-bd0d57ed9bbd
cook,http://data.europa.eu/esco/occupation/90f75f67-495d-49fa-ab57-2f320e251d7e
family support worker,http://data.europa.eu/esco/occupation/4c89c65c-4e35-44e3-8fa0-5d73e9e15325
train attendant,http://data.europa.eu/esco/occupation/fa1aef45-49a4-4446-94b4-e2b563d9d025
street food vendor,http://data.europa.eu/esco/occupation/e982a28b-9de2-460c-b85d-0f65ea0aa3ca
